source,auctioneer,sale date,sale time,county,address,deposit,status,ad link
DR,DR,10/08/2026,,Baltimore City,"2804 Pulaski Highway, Baltimore, MD 21224",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4215139
DR,DR,10/08/2026,,Baltimore City,"414 Water Street Unit #1805, Baltimore, MD 21202",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4215140
DR,DR,10/08/2026,,Baltimore City,"3709 Hillsdale Road, Baltimore, MD 21207",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4215141
DR,DR,10/08/2026,,Baltimore City,"5726 Cedonia Avenue, Baltimore, MD 21206",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4215142
DR,DR,10/08/2026,,Baltimore City,"1338 Pentridge Road, Baltimore, MD 21239",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4215143
DR,DR,10/08/2026,,Baltimore City,"6825 Gough Street, Baltimore, MD 21224",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4215144
DR,DR,10/08/2026,,Baltimore City,"246 South Castle Street, Baltimore, MD 21231",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4215145
DR,DR,10/07/2026,,Baltimore County,"21 Haddington Rd, Lutherville, MD 21093",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4215146
DR,DR,10/07/2026,,Baltimore County,"1344 Vida Dr, Baltimore, MD 21207",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4215147
DR,DR,10/07/2026,,Baltimore City,"3304 N. Hilton Street, Baltimore, MD 21216",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4214410
DR,DR,10/07/2026,,Baltimore City,"5035 Frederick Ave, Baltimore, MD 21229",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4214823
DR,DR,10/01/2026,,Baltimore City,"2512 Wilkens Avenue, Baltimore, MD 21223",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4213444
DR,DR,10/01/2026,,Baltimore City,"3325 Ravenwood Avenue, Baltimore, MD 21213",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4213445
DR,DR,10/01/2026,,Baltimore City,"3904 E Northern Parkway, Baltimore, MD 21206",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4213446
DR,DR,10/07/2026,,Baltimore City,"2400 Calverton Heights Avenue, Baltimore, MD 21216",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4212484
DR,DR,10/01/2026,,Baltimore City,"501 Pennsylvania Avenue, Baltimore, MD 21201",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4211854
DR,DR,10/01/2026,,Baltimore County,"5402 Overlook Circle, White Marsh, MD 21162",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4212825
DR,DR,10/01/2026,,Baltimore County,"15 North Star Court, Baltimore, MD 21208",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4212994
DR,DR,10/01/2026,,Baltimore City,"1520 Upshire Rd, Baltimore, MD 21218",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4212995
DR,DR,10/01/2026,,Baltimore County,"1914 Englewood Avenue, Gwynn Oak, MD 21207",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4212996
DR,DR,10/01/2026,,Baltimore County,"2307 Lincoln Avenue, Baltimore, MD 21219",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4212997
DR,DR,10/01/2026,,Baltimore City,"3641 Glengyle Ave, Baltimore City, MD",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4212998
DR,DR,10/01/2026,,Baltimore County,"7106 Willowdale Ave, Baltimore, MD 21206",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4212999
DR,DR,10/01/2026,,Baltimore County,"9014 Carlisle Avenue, Nottingham, MD 21236",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4213000
DR,DR,10/01/2026,,Baltimore County,"9160 Marlove Oaks Lane, Owings Mills, MD 21117",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4213001
DR,DR,10/01/2026,,Baltimore City,"1681 Cliftview Ave, Baltimore, MD 21213",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4213002
DR,DR,10/01/2026,,Baltimore County,"5524 Channing Rd, Baltimore, MD 21229",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4213003
DR,DR,10/01/2026,,Baltimore City,"2208 Linden Avenue, Baltimore, MD 21217",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4213004
DR,DR,10/01/2026,,Baltimore City,"3105 East Preston Street, Baltimore, MD 21213",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4213005
DR,DR,10/01/2026,,Baltimore City,"304 Thornhill Road, Baltimore, MD 21212",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4213006
DR,DR,10/01/2026,,Baltimore City,"2015 Clifton Avenue, Baltimore, MD 21217",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4213007
DR,DR,10/01/2026,,Baltimore City,"405 McAllister Street, Baltimore, MD 21202",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4213008
DR,DR,10/01/2026,,Baltimore City,"2330 West Mosher Street, Baltimore, MD 21216",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4213009
DR,DR,10/01/2026,,Baltimore City,"1317 North Linwood Avenue, Baltimore, MD 21213",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4213010
DR,DR,10/01/2026,,Baltimore City,"2228 Cecil Avenue, Baltimore, MD 21218",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4213011
DR,DR,10/01/2026,,Baltimore City,"1337 West Pratt Street, Baltimore, MD 21223",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4213012
DR,DR,10/01/2026,,Baltimore City,"2233 East Madison Street, Baltimore, MD 21205",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4213013
DR,DR,10/01/2026,,Baltimore City,"4203 Connecticut Avenue, Baltimore, MD 21229",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4213014
DR,DR,10/01/2026,,Baltimore City,"3808 Egerton Road, Baltimore, MD 21215",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4213015
DR,DR,09/30/2026,,Baltimore City,"4000 Hillen Road, Baltimore, MD 21218",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4213078
DR,DR,09/30/2026,,Baltimore County,"203 N. Essex Avenue, Essex, MD 21221",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4213079
DR,DR,09/30/2026,,Baltimore County,"3809 Southern Cross Drive, Gwynn Oak, MD 21207",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4213080
DR,DR,09/30/2026,,Baltimore County,"4118 Colby Road, Baltimore, MD 21208",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4213081
DR,DR,09/30/2026,,Baltimore County,"612 N Bend Rd, Baltimore, MD 21229",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4212626
DR,DR,09/30/2026,,Baltimore City,"3106 Foster Ave, Baltimore, MD 21224","$21,000",Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4212628
DR,DR,09/30/2026,,Baltimore County,"3444 Christopher Ct, Baltimore, MD 21244","$14,500",Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4212629
DR,DR,09/29/2026,,Baltimore City,"433 East 28th St, Baltimore, MD 21218","$17,500",Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4212632
DR,DR,09/29/2026,,Baltimore City,"5717 Gist Ave, Baltimore, MD 21215","$23,000",Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4212633
DR,DR,09/30/2026,,Baltimore City,"4 & 10 E. Biddle Street, Baltimore, MD 21202","$75,000",Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4212244
DR,DR,09/30/2026,,Baltimore City,"330 N. Charles Street, Baltimore, MD 21201","$100,000",Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4212248
DR,DR,09/30/2026,,Baltimore City,"10 & 12 W. Biddle Street, Baltimore, MD 21201",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4212250
DR,DR,09/30/2026,,Baltimore City,"7 & 9 E. Eager Street, Baltimore, MD 21202","$75,000",Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4212260
DR,DR,09/30/2026,,Baltimore City,"8 & 21 E. Eager Street, Baltimore, MD 21202","$75,000",Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4212265
