source,auctioneer,sale date,sale time,county,address,deposit,status,ad link
AC,AC,10/01/2026,1:27 PM,Harford County,"628 Yorkshire Drive, Edgewood, 21040","$10,000 → 10%",Active,https://realestate.alexcooper.com/direct-download-document?url=https%3A%2F%2Fproduction2-server.auctionmobility.com%2Fv1%2Fdocument%2F1-EGQL%2F1-DFO58N%2Fauctionmobility-tenant-private%2FJdIJ-1-EGQL%2Fdocuments%2F528560.pdf
AC,AC,10/02/2026,11:00 AM,Carroll County,"1243 Old Fridinger Mill Road, Westminster, 21157","$38,000",Active,https://realestate.alexcooper.com/direct-download-document?url=https%3A%2F%2Fproduction2-server.auctionmobility.com%2Fv1%2Fdocument%2F1-EGQL%2F1-DFO5EQ%2Fauctionmobility-tenant-private%2FeNC5-1-EGQL%2Fdocuments%2F528328.pdf
AC,AC,10/02/2026,11:05 AM,Carroll County,"3807 Rinehart Road, Westminster, 21158","$19,000",Active,https://realestate.alexcooper.com/direct-download-document?url=https%3A%2F%2Fproduction2-server.auctionmobility.com%2Fv1%2Fdocument%2F1-EGQL%2F1-DFO5E6%2Fauctionmobility-tenant-private%2FeBPN-1-EGQL%2Fdocuments%2F528703.pdf
AC,AC,10/02/2026,9:35 AM,Howard County,"9098 Goldamber Garth, Columbia, 21045","$10,000",Active,https://realestate.alexcooper.com/direct-download-document?url=https%3A%2F%2Fproduction2-server.auctionmobility.com%2Fv1%2Fdocument%2F1-EGQL%2F1-DFO5FC%2Fauctionmobility-tenant-private%2FqcqA-1-EGQL%2Fdocuments%2F528609.pdf
AC,AC,10/02/2026,9:40 AM,Howard County,"6364 Euclid Avenue, Elkridge, 21075","$30,000",Active,https://realestate.alexcooper.com/direct-download-document?url=https%3A%2F%2Fproduction2-server.auctionmobility.com%2Fv1%2Fdocument%2F1-EGQL%2F1-DFO5F0%2Fauctionmobility-tenant-private%2Fc8sI-1-EGQL%2Fdocuments%2F528529.pdf
AC,AC,10/02/2026,9:45 AM,Howard County,"8791 Endless Ocean Way, Unit #68, Columbia, 21045","$50,000",Active,https://realestate.alexcooper.com/direct-download-document?url=https%3A%2F%2Fproduction2-server.auctionmobility.com%2Fv1%2Fdocument%2F1-EGQL%2F1-DFO5D8%2Fauctionmobility-tenant-private%2FH9O0-1-EGQL%2Fdocuments%2F528702.pdf
AC,AC,10/02/2026,12:45 PM,Montgomery County,"10002 Sidney Road, Silver Spring, 20901","$8,000",Active,https://realestate.alexcooper.com/direct-download-document?url=https%3A%2F%2Fproduction2-server.auctionmobility.com%2Fv1%2Fdocument%2F1-EGQL%2F1-DFO5C1%2Fauctionmobility-tenant-private%2FTKVN-1-EGQL%2Fdocuments%2F528698.pdf
AC,AC,10/02/2026,12:47 PM,Montgomery County,"25 Mountain Laurel Court, Gaithersburg, 20879","$17,000",Active,https://realestate.alexcooper.com/direct-download-document?url=https%3A%2F%2Fproduction2-server.auctionmobility.com%2Fv1%2Fdocument%2F1-EGQL%2F1-DFO5CM%2Fauctionmobility-tenant-private%2FxRx4-1-EGQL%2Fdocuments%2F528700.pdf
AC,AC,10/02/2026,12:49 PM,Montgomery County,"6613 80th Place, Cabin John, 20818","$5,000",Active,https://realestate.alexcooper.com/direct-download-document?url=https%3A%2F%2Fproduction2-server.auctionmobility.com%2Fv1%2Fdocument%2F1-EGQL%2F1-DFO5CW%2Fauctionmobility-tenant-private%2FpTxP-1-EGQL%2Fdocuments%2F528701.pdf
AC,AC,10/02/2026,12:51 PM,Montgomery County,"6610 Hillandale Road, Unit #66, Chevy Chase, 20815","$51,000",Active,https://realestate.alexcooper.com/direct-download-document?url=https%3A%2F%2Fproduction2-server.auctionmobility.com%2Fv1%2Fdocument%2F1-EGQL%2F1-DFO5FX%2Fauctionmobility-tenant-private%2FkDjk-1-EGQL%2Fdocuments%2F528551.pdf
AC,AC,10/02/2026,12:53 PM,Montgomery County,"9845 Lake Shore Drive, Gaithersburg, 20886","$22,000",Active,https://realestate.alexcooper.com/direct-download-document?url=https%3A%2F%2Fproduction2-server.auctionmobility.com%2Fv1%2Fdocument%2F1-EGQL%2F1-DFO5CB%2Fauctionmobility-tenant-private%2Fdne9-1-EGQL%2Fdocuments%2F528699.pdf
AC,AC,10/02/2026,1:03 PM,Montgomery County,"14210 Autumn Crest Road, Boyds, 20841","$62,000",Active,https://realestate.alexcooper.com/direct-download-document?url=https%3A%2F%2Fproduction2-server.auctionmobility.com%2Fv1%2Fdocument%2F1-EGQL%2F1-DFO5FN%2Fauctionmobility-tenant-private%2F9om4-1-EGQL%2Fdocuments%2F528709.pdf
AC,AC,10/06/2026,9:20 AM,Anne Arundel County,"540 Willow Bend Drive, Glen Burnie, 21060","$39,000",Active,https://realestate.alexcooper.com/direct-download-document?url=https%3A%2F%2Fproduction2-server.auctionmobility.com%2Fv1%2Fdocument%2F1-EGQL%2F1-DGJNMY%2Fauctionmobility-tenant-private%2F4tMS-1-EGQL%2Fdocuments%2F528603.pdf
AC,AC,10/06/2026,9:22 AM,Anne Arundel County,"132 Midland Road, Glen Burnie, 21060","$25,000",Active,https://realestate.alexcooper.com/direct-download-document?url=https%3A%2F%2Fproduction2-server.auctionmobility.com%2Fv1%2Fdocument%2F1-EGQL%2F1-DGJNJ3%2Fauctionmobility-tenant-private%2FKk3G-1-EGQL%2Fdocuments%2F528705.pdf
AC,AC,10/06/2026,9:24 AM,Anne Arundel County,"3504 River Bridge Way, Laurel, 20724","$38,000",Active,https://realestate.alexcooper.com/direct-download-document?url=https%3A%2F%2Fproduction2-server.auctionmobility.com%2Fv1%2Fdocument%2F1-EGQL%2F1-DGJNJD%2Fauctionmobility-tenant-private%2FHcqJ-1-EGQL%2Fdocuments%2F528708.pdf
